	features	ambiguous_features	spliced_features	unspliced_features	gene_count_corr	means	dispersions	dispersions_norm	velocity_gamma	velocity_r2	velocity_genes	spearmans_score	velocity_score	to 10	to 17	to 1	to 3
ASAP3	ASAP3	ASAP3	ASAP3	ASAP3	-0.0147	0.030870628	0.1957814	-0.019994961	0.5390698	0.04941451549530029	True	0.39236671119451566	0	0.0518430250258624	0.0578941766390316	-0.07110988824798038	-0.020725412767148458
GALE	GALE	GALE	GALE	GALE	0.0328	1.2576663	0.60677445	0.37990287	0.08583897	0.40635597705841064	True	0.7110569830143678	23	0.1458243087994518	-0.233618312023367	0.12702433299255697	-0.002673477060078915
FUCA1	FUCA1	FUCA1	FUCA1	FUCA1	-0.0316	0.5463526	0.35930112	0.2903237	0.055899594	-0.1586674451828003	False	0.2665570012666431	0	-0.044419470711503525	-0.1836280978163581	0.2067890022174999	-0.05052498563504769
STMN1	STMN1	STMN1	STMN1	STMN1	-0.0442	0.60081047	1.210276	3.5819085	0.008409262	0.21951663494110107	True	0.5364691854634891	0	-0.02823633434221627	0.3862691227298065	-0.3961486687805037	0.17524942139692992
CRYBG2	CRYBG2	CRYBG2	CRYBG2	CRYBG2	0.009	0.2750917	0.29745275	0.2106498	0.1762165	0.06736481189727783	True	0.47483193297653054	0	-0.05502994097537532	-0.09013033496043536	0.1070638887416721	0.006470007476540338
GPATCH3	GPATCH3	GPATCH3	GPATCH3	GPATCH3	0.0133	0.21071756	0.21878189	0.06376587	0.21001978	0.15829628705978394	True	0.43695556329179525	7	0.0519618081794763	-0.04326561328418698	0.022792744513150952	-0.03248498646868507
NR0B2	NR0B2	NR0B2	NR0B2	NR0B2	-0.0138	0.24223879	1.5446036	4.8920064	0.01835759	0.44687139987945557	True	0.3906387258572899	0	0.100008450975392	-0.016695555580829146	-0.027041698127480317	-0.03241715108607713
IFI6	IFI6	IFI6	IFI6	IFI6	-0.0825	2.2348034	2.927163	1.9551575	0.01871888	0.758845865726471	True	0.8590724147821733	9	0.1626810137210666	-0.21001442935150622	0.15499163325524076	-0.14582660325049768
SNHG12	SNHG12	SNHG12	SNHG12	SNHG12	0.0327	0.46766153	0.48945996	0.87704206	0.05344844	-0.9158982038497925	False	0.07202821629887063	0	0.01733575456474487	-0.14953869837474912	0.12226487673725626	0.00019119772428907164
COL16A1	COL16A1	COL16A1	COL16A1	COL16A1	-0.0731	0.2911523	0.6388084	1.3953803	0.09021097	0.10449457168579102	True	0.5302938499566267	17	0.2548376537635075	-0.03719055697427219	-0.07968340622477905	-0.0676631487339392
MARCKSL1	MARCKSL1	MARCKSL1	MARCKSL1	MARCKSL1	-0.1667	2.650363	1.4376519	0.78426945	0.0008372404	-0.2966153621673584	False	0.18719767724339503	0	0.010535017685646813	0.30944661373821064	-0.22738559119986546	-0.1264443883423953
TMEM54	TMEM54	TMEM54	TMEM54	TMEM54	0.0862	2.2604303	1.1275129	0.01910641	0.04599899	0.30327022075653076	True	0.7220382349437865	7	-0.22117849571395717	-0.28102221864020915	0.3344076929473238	0.08589037798077168
SFPQ	SFPQ	SFPQ	SFPQ	SFPQ	-0.0266	1.0929612	0.55632126	0.26289654	0.10447659	0.19330787658691406	True	0.5006410738710813	0	-0.03922522014119905	0.15161059213262215	-0.1309244399019668	0.046305712502140196
PSMB2	PSMB2	PSMB2	PSMB2	PSMB2	-0.0326	1.8196102	0.8654358	0.16126734	0.03280469	0.4591495394706726	True	0.39692176030099124	3	0.026801878499169624	-0.16085951889987693	0.12962317408950058	-0.006155133124245732
CLSPN	CLSPN	CLSPN	CLSPN	CLSPN	0.1622	0.14320847	0.8112017	2.2211792	0.34144148	0.8795493617653847	True	0.5596412746453853	8	-0.030974082015754953	-0.014639307146452474	-0.10380314524564767	0.32983417372800455
RRAGC	RRAGC	RRAGC	RRAGC	RRAGC	0.0265	0.6109144	0.4735847	0.7323746	0.038073562	0.198083758354187	True	0.44354616006351644	0	-0.01245445718538586	-0.15387342866608472	0.14113699060689985	0.003410834740879136
RHBDL2	RHBDL2	RHBDL2	RHBDL2	RHBDL2	0.053	0.21153831	0.37459835	0.6312023	0.27693778	0.11429053544998169	True	0.45882468473985166	20	-0.10827533143782887	-0.13277579559275676	0.18095586625801513	-0.010934618508766624
TRIT1	TRIT1	TRIT1	TRIT1	TRIT1	-0.0367	0.22123888	0.20751624	0.022739816	0.79948086	-0.4546985626220703	False	0.505573776804218	0	0.033437073410757176	0.07592852351403691	-0.08171550643783611	-0.008864778500232
HIVEP3	HIVEP3	HIVEP3	HIVEP3	HIVEP3	-0.006	0.025811952	0.36463717	0.5949266	3.7110157	-0.19978272914886475	False	0.493228506755563	0	-0.031460496676344665	-0.025389797560523706	0.041401068457819684	-0.004293974516872908
P3H1	P3H1	P3H1	P3H1	P3H1	-0.0745	0.10547669	0.30794156	0.3884584	0.38549352	0.008020997047424316	False	0.2549625716218907	0	0.12781963973986832	0.11283726885737483	-0.1499103171622466	-0.048744317120419545
SLC2A1	SLC2A1	SLC2A1	SLC2A1	SLC2A1	-0.0069	1.2622788	1.0192058	1.3363744	0.16826545	0.2976498603820801	True	0.5729208063471345	27	-0.09679942676521891	-0.102806225739369	0.14062094830827732	0.007831846818808165
ZSWIM5	ZSWIM5	ZSWIM5	ZSWIM5	ZSWIM5	-0.0202	0.013581828	0.36051783	0.57992524	3.8638299	-3.439255714416504	False	0.26990931675217317	0	0.01841225363888651	0.06122049105983153	-0.062236807165915814	-0.004574557177488599
PRDX1	PRDX1	PRDX1	PRDX1	PRDX1	-0.1371	3.1278718	1.80578	1.1656992	0.013607804	0.24728834629058838	True	0.6191959561942086	0	-0.040232480913190156	-0.09557330389455883	0.12518885920665415	-0.04643847412449053
PIK3R3	PIK3R3	PIK3R3	PIK3R3	PIK3R3	-0.0331	0.13095963	0.43345383	0.845536	0.04534368	0.08143997192382812	True	0.20560092946389233	0	0.003973451804992165	0.1481154079070271	-0.12095011300183703	-0.029195915725254793
LRRC41	LRRC41	LRRC41	LRRC41	LRRC41	-0.0263	0.012780222	0.39581564	0.7084691	1.3980435	-2.490042209625244	False	0.05310383526175945	0	0.016439491526474014	-0.006821618450912273	0.002188935186456309	-0.012824717221747182
PDZK1IP1	PDZK1IP1	PDZK1IP1	PDZK1IP1	PDZK1IP1	0.0489	0.48366764	0.7734926	1.8628234	0.008394321	-0.19278228282928467	False	0.24297493701291362	0	-0.10220511781820174	-0.08473007784876974	0.13976007756057351	-0.022040653858750987
STIL	STIL	STIL	STIL	STIL	0.1579	0.11056191	0.27271318	0.2601673	0.99415433	0.8292505741119385	True	0.5219201686721402	8	-0.020089991019588027	0.002687398129335842	-0.06552284606559908	0.1829837608342315
SPATA6	SPATA6	SPATA6	SPATA6	SPATA6	-0.0373	0.12200465	0.26743317	0.24093914	0.43630788	0.2780147194862366	True	0.4654538006548042	16	0.026283956378819757	0.13457014504526094	-0.13219660435690542	-0.002206381882832772
TTC39A	TTC39A	TTC39A	TTC39A	TTC39A	-0.0109	0.484747	0.33940393	0.35624814	0.21444498	0.4296327233314514	True	0.5820195588740329	5	0.16207396428712656	-0.05699329070610636	-0.014381972630650325	-0.06004532673723488
RAB3B	RAB3B	RAB3B	RAB3B	RAB3B	-0.0658	0.095697805	1.3981638	4.3587174	0.16353206	0.6468737721443176	True	0.6290168308583352	9	0.010855563049590103	0.26768538344451615	-0.23001035587199903	-0.029571422452870283
TUT4	TUT4	TUT4	TUT4	TUT4	-0.0424	0.1912996	0.3348679	0.4865159	0.6833605	0.1049843430519104	True	0.6008111158809596	10	-8.748113353392045e-05	0.13445561206247583	-0.11414406104086453	-0.010774044191274118
ECHDC2	ECHDC2	ECHDC2	ECHDC2	ECHDC2	-0.017	0.25938627	0.22494797	-0.040989794	0.38446876	0.2946076989173889	True	0.5814162230005738	0	0.07778736128125306	0.049691300577440124	-0.07401280753060943	-0.03085760236960563
SLC1A7	SLC1A7	SLC1A7	SLC1A7	SLC1A7	-0.0381	0.03329664	0.2888823	0.31905028	0.28801057	0.32048261165618896	True	0.31816254094377766	0	0.16397518833392363	0.05722296197202377	-0.13525420887578676	-0.01289482104394888
LRP8	LRP8	LRP8	LRP8	LRP8	0.0448	0.4460635	0.60038656	1.2620307	1.3167468	0.6665123701095581	True	0.8248032967743059	11	-0.06478563321837498	-0.14000386814152058	0.15804552778790149	0.0024041953914341664
HSPB11	HSPB11	HSPB11	HSPB11	HSPB11	0.0619	0.49555618	0.23919623	0.0084610665	0.056821562	0.04903256893157959	True	0.4149999804974511	0	-0.034270663039069976	-0.07037723454060509	0.04462875098524618	0.08939980947949833
SSBP3	SSBP3	SSBP3	SSBP3	SSBP3	-0.0832	0.11737723	0.37932867	0.64842856	1.2209134	0.44947999715805054	True	0.6012966586409214	24	0.02645563678161988	0.16193139474118037	-0.1457931747659772	-0.028412744701076232
DHCR24	DHCR24	DHCR24	DHCR24	DHCR24	0.0783	0.948202	0.4197829	0.052450284	0.1254176	0.1543433666229248	True	0.4490069701936783	11	0.024409080815287768	0.04991607573702821	-0.0712549375157869	0.03413673117474909
DOCK7	DOCK7	DOCK7	DOCK7	DOCK7	0.0025	0.18584232	0.18976118	-0.04191873	1.2544029	-0.6213244199752808	False	0.33556449114591635	0	-0.023952131401252505	0.044577549647011945	-0.02497320688775359	-0.002921352907928464
ITGB3BP	ITGB3BP	ITGB3BP	ITGB3BP	ITGB3BP	0.0569	0.25651193	0.21892507	0.06428735	0.5106438	0.46856689453125	True	0.6103789281384085	11	-0.060265769899796595	0.041586496794855814	-0.0711864961441834	0.16675355740699357
WDR78	WDR78	WDR78	WDR78	WDR78	-0.0297	0.011877004	0.3343724	0.48471147	2.514003	-1.0145204067230225	False	0.1768026383060911	0	-0.014364587187528801	0.050922376257075616	-0.03318575512371581	-0.009447720646639974
DEPDC1	DEPDC1	DEPDC1	DEPDC1	DEPDC1	0.1498	0.15355752	1.0142202	2.9605112	0.14235145	0.8084130138158798	True	0.5643498924781063	0	-0.023309143087700133	0.013416656156494356	-0.04666071531832243	0.1174800625175881
LRRC53	LRRC53	LRRC53	LRRC53	LRRC53	-0.1141	0.059380893	2.2446575	7.4413905	0.36588284	0.9093166589736938	True	0.5837025286340466	13	-0.07360361162138768	0.32471434397633175	-0.23204447039510911	-0.03421828511606626
SLC44A5	SLC44A5	SLC44A5	SLC44A5	SLC44A5	-0.0448	0.044527713	0.33658132	0.4927557	2.0307412	0.06310003995895386	True	0.46523138950701	0	-0.028626653409258695	0.1015319667032842	-0.07133397967091812	-0.006113219677663078
PIGK	PIGK	PIGK	PIGK	PIGK	-0.0339	0.14304169	0.26175675	0.22026733	0.18748124	0.174463152885437	True	0.4279690974641011	14	-0.005453678568141413	0.06680851384822016	-0.0700961300920134	0.03497725599011664
TTLL7	TTLL7	TTLL7	TTLL7	TTLL7	-0.0701	0.07596907	0.53936094	1.2312176	0.4605077	0.641189843416214	True	0.5337709479665071	15	0.028298698920475627	0.10132796746955137	-0.09177481303470127	-0.03233836935825998
BCL10	BCL10	BCL10	BCL10	BCL10	0.0165	0.4893148	0.38017935	0.49776587	0.23174827	-0.11957168579101562	False	0.2733984876559178	0	0.03532990378829125	-0.04647837526087264	0.02966433741941203	-0.019923706864249727
ZNHIT6	ZNHIT6	ZNHIT6	ZNHIT6	ZNHIT6	-0.0258	0.20310985	0.19068137	-0.03856767	1.0027076	-0.270479679107666	False	0.4493820052711897	0	0.0031850950696555515	0.0721706869839634	-0.05766036903706244	-0.019059344957482936
ODF2L	ODF2L	ODF2L	ODF2L	ODF2L	-0.0422	0.26130044	0.27509347	0.1330483	0.4376857	0.42325735092163086	True	0.5420411467583013	20	0.02290427022365739	0.13521217456499665	-0.1260779357686694	-0.01411867206825787
SELENOF	SELENOF	SELENOF	SELENOF	SELENOF	-0.108	1.2260451	0.4486192	0.013124159	0.1958418	0.004062950611114502	False	0.5831338143442755	0	-0.08617214262446742	0.13369637686427133	-0.08214988446496033	0.028536130457419713
GBP1	GBP1	GBP1	GBP1	GBP1	0.0134	0.14657749	0.5649031	1.3242342	0.1076742	0.37707704305648804	True	0.5155364561303556	0	0.045250661672292115	-0.20167206587891828	0.17293119240012095	-0.04919587046535579
GBP2	GBP2	GBP2	GBP2	GBP2	0.0123	0.2907901	0.33986294	0.35784125	0.22890285	0.3426175117492676	True	0.5166548656565271	7	0.07457140791465976	-0.11754749661553436	0.07544706604232744	-0.031417168652476596
GLMN	GLMN	GLMN	GLMN	GLMN	-0.069	0.19055969	0.35295415	0.55238056	1.2255331	-1.0164875984191895	False	0.23405576725109373	0	0.1445801336393749	0.046689506653285286	-0.12292445441018347	0.005867788627481723
BCAR3	BCAR3	BCAR3	BCAR3	BCAR3	-0.0472	0.49212813	0.34699455	0.38259262	1.162966	0.3481789231300354	True	0.6932395670466358	14	0.08440006316135255	-0.09411917959082339	0.05291121197949251	-0.04009670125119263
DNTTIP2	DNTTIP2	DNTTIP2	DNTTIP2	DNTTIP2	-0.0127	0.771475	0.27733788	-0.026711358	0.13598737	0.22766298055648804	True	0.27975541559496847	0	-0.02977380458322994	-0.04298336426619223	0.0564850508644293	-0.0055183720362141754
GCLM	GCLM	GCLM	GCLM	GCLM	-0.0287	0.57789725	0.7037622	1.6227049	0.19343983	0.6558552980422974	True	0.507872285566925	3	-0.032630231661949796	-0.06800326709913163	0.07725209352790516	0.0015440599016666935
ARHGAP29	ARHGAP29	ARHGAP29	ARHGAP29	ARHGAP29	0.0551	1.1456921	1.082086	1.4822003	0.5306679	0.8748613595962524	True	0.9348061752600861	4	-0.18375676227491802	-0.10472019230980116	0.1637510397042813	0.07270010999966724
F3	F3	F3	F3	F3	-0.0217	0.061118703	0.3205127	0.43423873	0.20744163	-0.11827361583709717	False	0.19172632636544115	0	0.0899322337442864	-0.008500550075413378	-0.04366308338162055	0.004403080888547713
CNN3	CNN3	CNN3	CNN3	CNN3	-0.0603	0.08849727	0.59385026	1.4296511	0.052290116	0.2213926911354065	True	0.3509244394632727	4	-0.04794429878415186	0.17108427922898256	-0.12142777357310311	-0.007667985411509158
DPYD	DPYD	DPYD	DPYD	DPYD	0.021	0.102081284	0.2658005	0.2349934	9.962285	0.789173424243927	True	0.8386508381264408	2	-0.0603552929336551	-0.17528787143777003	0.20501831815770802	-0.04271707575909511
SASS6	SASS6	SASS6	SASS6	SASS6	0.1314	0.22952513	0.19540863	-0.021352444	0.2726404	0.5114384889602661	True	0.5908679742957356	0	-0.0027241918906752965	-0.05367583107499894	-0.019534660372513318	0.1686220245433564
VAV3	VAV3	VAV3	VAV3	VAV3	0.0155	0.0051378105	0.3917404	0.6936284	0.6915721	0.4981958866119385	True	0.5258066532649456	0	0.010042844884711424	0.006300523647149405	-0.008040610865513676	-0.007470695554797403
PSRC1	PSRC1	PSRC1	PSRC1	PSRC1	0.1229	0.12464184	0.53700906	1.2226528	0.063710205	0.5269143283367157	True	0.3348479061560229	0	-0.002899453833300024	0.044205818059963445	-0.07912474122837239	0.10295073339782099
SORT1	SORT1	SORT1	SORT1	SORT1	0.0119	0.41045693	0.23860976	0.0064256624	0.37552407	0.21848398447036743	True	0.5305315140955366	7	0.011115448454148889	0.08759699397841415	-0.10182139304830937	0.04557857189520534
SLC16A4	SLC16A4	SLC16A4	SLC16A4	SLC16A4	-0.0259	0.50754595	0.43279785	0.6803869	0.23305614	0.027199625968933105	True	0.6345348167313987	0	-0.08385044459957212	-0.08837387603375182	0.14678322361371324	-0.05629522181307964
DENND2D	DENND2D	DENND2D	DENND2D	DENND2D	0.0173	0.5481328	0.29505235	0.041808497	0.10358089	0.09712344408035278	True	0.3486724789178775	0	0.07642133421799051	-0.10941637021592643	0.06508032492189887	-0.026036716581349137
RHOC	RHOC	RHOC	RHOC	RHOC	0.0643	1.7248515	0.6383489	-0.0041740183	0.015849255	-0.9690327644348145	False	0.3373704030672066	0	-0.18649182321358637	-0.22401800021515034	0.3037842972280864	-0.0095323330438356
SLC16A1	SLC16A1	SLC16A1	SLC16A1	SLC16A1	-0.0311	0.5103556	0.26520452	0.09872712	0.16888806	0.11067289113998413	True	0.49171242423356765	6	-0.03633254359208619	0.0913417258357292	-0.07503596328999317	0.03561805163655165
PHTF1	PHTF1	PHTF1	PHTF1	PHTF1	0.0356	0.18907256	0.21409638	0.046702716	0.4634241	0.16658049821853638	True	0.5375540041299732	0	0.021391415169787747	-0.013820040060156706	-0.003750044747188284	0.010340638565765267
TRIM33	TRIM33	TRIM33	TRIM33	TRIM33	0.0172	0.7398584	0.32054746	0.14042397	0.7962459	0.5070698261260986	True	0.6941657570522299	0	-0.04455771657989628	-0.10200910435049461	0.13279082671589088	-0.04533446404265905
DENND2C	DENND2C	DENND2C	DENND2C	DENND2C	0.0074	0.0051429505	0.5168257	1.1491511	1.5387869	0.3697332739830017	True	0.21445179823670926	0	0.007759442423257811	-0.014277148420945027	0.011732195083974911	-0.008393881322562996
HMGCS2	HMGCS2	HMGCS2	HMGCS2	HMGCS2	0.0171	0.07955966	0.922771	2.6274807	0.13556385	0.43834197521209717	True	0.45586516411557226	7	-0.01693100864524788	0.09388564772379239	-0.07270294608796016	-0.0019438197411045532
REG4	REG4	REG4	REG4	REG4	0.007	0.85519654	3.6655269	7.662105	0.022068271	0.6064929366111755	True	0.5999483408746139	0	0.14747603137423487	0.16568302666968118	-0.23061490821682606	0.008765505674950635
SEC22B	SEC22B	SEC22B	SEC22B	SEC22B	-0.0876	0.35034326	0.23734206	0.0020258818	0.19546749	0.09443908929824829	True	0.33154663926468847	0	0.1197082682860214	0.10070627523880835	-0.13627939547925047	-0.04499712103181399
PDZK1	PDZK1	PDZK1	PDZK1	PDZK1	-0.0218	0.07401161	0.19356358	-0.028071538	1.3396221	0.4046702980995178	True	0.6538210622463269	0	-0.004432242461720357	-0.02569087701130653	0.03599389245324507	-0.026903654530710964
TXNIP	TXNIP	TXNIP	TXNIP	TXNIP	-0.0082	1.2373191	2.388619	4.512187	0.012717474	0.5594939589500427	True	0.6222673531685922	0	0.20584177467850545	-0.016107940332720873	-0.0538691401027788	-0.1108426746487117
ACP6	ACP6	ACP6	ACP6	ACP6	0.0331	0.16781607	0.20535682	0.014875853	0.60589653	0.3182464838027954	True	0.5645816188148696	7	0.03168404464766746	0.0890648682642468	-0.0982592592990573	0.005744881766651804
ANP32E	ANP32E	ANP32E	ANP32E	ANP32E	0.0806	0.46163553	0.43074647	0.6732673	0.27731028	0.6285493671894073	True	0.5696401042236147	9	-0.06065275585093598	-0.03893500964334728	0.016687139615704324	0.1256611617963941
MCL1	MCL1	MCL1	MCL1	MCL1	0.0552	0.7878866	0.6414579	0.5721679	0.060994197	-0.09497702121734619	False	0.27812042903885636	0	-0.020882229037910684	-0.018540218527729146	0.03632582170816031	-0.020998522298449774
CTSS	CTSS	CTSS	CTSS	CTSS	-0.0209	0.12350996	0.48931095	1.0489508	0.1974726	0.5469785630702972	True	0.5972363751554738	7	-0.025786940716908652	-0.22694821571507273	0.23375046831093135	-0.04803905579366233
SELENBP1	SELENBP1	SELENBP1	SELENBP1	SELENBP1	-0.0535	0.17996456	0.35091153	0.54494196	0.030333348	-0.16247665882110596	False	0.17365848718605537	0	0.004428475674163829	0.10909146866749406	-0.08919169836447509	-0.023270475255736923
S100A10	S100A10	S100A10	S100A10	S100A10	0.087	3.911428	3.0339994	2.6034055	0.010413879	0.16350442171096802	True	0.5870819578935055	12	-0.14109961040384617	-0.013865842146903087	0.047273662068507534	0.10463071349776822
S100A11	S100A11	S100A11	S100A11	S100A11	0.0518	3.5876117	2.186875	1.1629053	0.005916366	0.10466718673706055	False	0.5018267729012141	0	-0.2782313364352041	-0.4292642707314722	0.5315702077711234	-0.0007472708925964635
FLG	FLG	FLG	FLG	FLG	0.0058	0.025318211	0.948999	2.722995	0.0525168	0.33959656953811646	True	0.29171854076490483	0	-0.0042759915688614395	0.038366611229144164	-0.029574632522796816	-0.004707940031825917
S100A6	S100A6	S100A6	S100A6	S100A6	-0.0362	4.941726	3.0766811	0.070404634	0.005440544	-0.590467095375061	False	0.3128206757846085	0	-0.053483197195274196	-0.13696049118225362	0.18283137864593382	-0.08065959520573168
S100A4	S100A4	S100A4	S100A4	S100A4	0.0228	3.1024802	3.922386	3.2063577	0.0021824425	0.43592244386672974	False	0.6611646091620301	0	-0.08150185561566022	-0.3266665711916775	0.36277450314816606	-0.07395529833435188
S100A2	S100A2	S100A2	S100A2	S100A2	0.0442	0.60323495	1.1755052	3.4474142	0.029745968	0.2550889253616333	True	0.521300318987714	0	-0.04524794937041538	-0.1436784008888354	0.16454981743948202	-0.032105737448427187
S100A16	S100A16	S100A16	S100A16	S100A16	0.0981	1.5835795	0.8866348	0.412379	0.007982138	-0.9414504766464233	False	0.1294847603154362	0	-0.14222611024323245	-0.020311427159053683	0.09624804365771318	-0.0006275411197432137
S100A14	S100A14	S100A14	S100A14	S100A14	0.0952	2.0485451	1.5405337	1.5080911	0.0020474182	-0.5155664682388306	False	0.02010924116963234	0	-0.15390951858470847	-0.0700126240413847	0.15149821318101234	-0.012986661115180514
S100A13	S100A13	S100A13	S100A13	S100A13	0.057	1.6233364	0.7796789	0.2329374	0.010102164	-1.8563652038574219	False	0.11798141393880032	0	-0.07844549107246349	-0.17596639860428637	0.213975621998786	-0.038837768705643975
ADAR	ADAR	ADAR	ADAR	ADAR	0.0166	0.96928996	0.5220723	0.29226804	0.24107845	0.5444488823413849	True	0.7669439466256792	11	0.11867171788267965	-0.10637646296907388	0.0665526248044298	-0.09349666080314988
PBXIP1	PBXIP1	PBXIP1	PBXIP1	PBXIP1	-0.1506	0.27387968	0.7398944	1.7462155	0.07290264	0.5433651804924011	True	0.3584990185732957	0	0.05275428966563748	0.2756069372776595	-0.24029167774412413	-0.07818074772037947
RIT1	RIT1	RIT1	RIT1	RIT1	-0.0695	0.39953172	0.28157872	0.15555641	0.06471801	-0.014478564262390137	False	0.19690425646620596	0	0.008435701586080601	-0.00820421540435027	0.012668226479857847	-0.024827474370734365
MEX3A	MEX3A	MEX3A	MEX3A	MEX3A	-0.1227	0.33066797	0.90752417	2.3280017	0.006128065	0.1353551745414734	True	0.3623080613387649	0	0.01728465076775468	0.4521665390415691	-0.393427369655516	-0.036438548107203095
IQGAP3	IQGAP3	IQGAP3	IQGAP3	IQGAP3	0.0895	0.047133073	0.19038936	-0.03963107	1.0967795	0.7268031239509583	True	0.607309678411025	0	-0.033027492842187145	-0.01347064993478748	-0.04158830617734119	0.17661009401452438
CRABP2	CRABP2	CRABP2	CRABP2	CRABP2	0.0132	1.3597871	1.034753	1.326497	0.023380606	0.28711384534835815	True	0.6719786856165633	0	-0.23380087274778785	-0.2733739342721346	0.36856506214338247	0.002093802871978305
CFAP45	CFAP45	CFAP45	CFAP45	CFAP45	-0.0086	0.030191628	0.27672043	0.2747605	0.44200912	-0.4958925247192383	False	0.052582432209448346	0	-0.0052970733562772284	0.04344416220847943	-0.03181926503143278	-0.008832334080305797
TAGLN2	TAGLN2	TAGLN2	TAGLN2	TAGLN2	0.0264	1.9291631	0.888404	0.20708908	0.010566667	-1.3288419246673584	False	0.13874780565215536	0	-0.04209249291403321	-0.05186356754190522	0.037383742437612694	0.07759517760750843
