Cluster	comparison	change	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0003309	type B pancreatic cell differentiation	2/38	25/18670	0.00117492000168471	0.0372493156089672	0.0287660725558674	INSM1/PAX6	2
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:2000679	positive regulation of transcription regulatory region DNA binding	2/38	25/18670	0.00117492000168471	0.0372493156089672	0.0287660725558674	NEUROD1/PAX6	2
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0002021	response to dietary excess	2/38	27/18670	0.00137113417769518	0.0419175305752527	0.0323711377290442	PCSK1N/SCT	2
EEC_vs_goblet.up	EEC_vs_goblet	up	GO:0021537	telencephalon development	4/38	251/18670	0.00164399876086006	0.0485263082515935	0.0374748174889335	SCT/NEUROD1/PAX6/BNIP3	4
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0010273	detoxification of copper ion	7/108	15/18670	1.10232770428609e-12	1.19547439529826e-09	1.04779149154772e-09	MT1M/MT1F/MT1H/MT1X/MT1E/MT2A/MT1G	7
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:1990169	stress response to copper ion	7/108	15/18670	1.10232770428609e-12	1.19547439529826e-09	1.04779149154772e-09	MT1M/MT1F/MT1H/MT1X/MT1E/MT2A/MT1G	7
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0061687	detoxification of inorganic compound	7/108	17/18670	3.30001037415056e-12	1.78943062538314e-09	1.56837335150419e-09	MT1M/MT1F/MT1H/MT1X/MT1E/MT2A/MT1G	7
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0097501	stress response to metal ion	7/108	17/18670	3.30001037415056e-12	1.78943062538314e-09	1.56837335150419e-09	MT1M/MT1F/MT1H/MT1X/MT1E/MT2A/MT1G	7
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0071294	cellular response to zinc ion	7/108	23/18670	4.04315737389237e-11	1.75392166879451e-08	1.53725099310518e-08	MT1M/MT1F/MT1H/MT1X/MT1E/MT2A/MT1G	7
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0071280	cellular response to copper ion	7/108	29/18670	2.50182075141235e-10	9.04408201635566e-08	7.92682153868546e-08	MT1M/MT1F/MT1H/MT1X/MT1E/MT2A/MT1G	7
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0010043	response to zinc ion	8/108	53/18670	6.88494364516792e-10	2.13334896662417e-07	1.8698057478456e-07	CA2/MT1M/MT1F/MT1H/MT1X/MT1E/MT2A/MT1G	8
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0006882	cellular zinc ion homeostasis	7/108	36/18670	1.29437738134681e-09	3.50938067517654e-07	3.07584940883203e-07	MT1M/MT1F/MT1H/MT1X/MT1E/MT2A/MT1G	7
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0071276	cellular response to cadmium ion	7/108	37/18670	1.58884569330073e-09	3.82911812085475e-07	3.35608809602469e-07	MT1M/MT1F/MT1H/MT1X/MT1E/MT2A/MT1G	7
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0055069	zinc ion homeostasis	7/108	38/18670	1.93840277467353e-09	4.20439561826689e-07	3.68500569585305e-07	MT1M/MT1F/MT1H/MT1X/MT1E/MT2A/MT1G	7
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0046688	response to copper ion	7/108	44/18670	5.72073074763872e-09	1.12802409014803e-06	9.88673658395744e-07	MT1M/MT1F/MT1H/MT1X/MT1E/MT2A/MT1G	7
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0046686	response to cadmium ion	7/108	63/18670	7.54821432729687e-08	1.36433973965891e-05	1.19579605921914e-05	MT1M/MT1F/MT1H/MT1X/MT1E/MT2A/MT1G	7
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0046916	cellular transition metal ion homeostasis	8/108	108/18670	2.10354730472416e-07	3.5096877722667e-05	3.07611856868975e-05	LCN2/MT1M/MT1F/MT1H/MT1X/MT1E/MT2A/MT1G	8
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0030595	leukocyte chemotaxis	10/108	224/18670	7.02155380863101e-07	0.000108783930078005	9.53453096119369e-05	CXCL3/CCL15/GAS6/TRPM4/CCL20/LGALS9/C10orf99/CAMK1D/CD74/CHGA	10
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0055076	transition metal ion homeostasis	8/108	131/18670	9.26329691564485e-07	0.000133947273400225	0.000117400099857225	LCN2/MT1M/MT1F/MT1H/MT1X/MT1E/MT2A/MT1G	8
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0060326	cell chemotaxis	11/108	304/18670	1.5121392430651e-06	0.000203133541971341	0.000178039444226173	CCL28/CXCL3/CCL15/GAS6/TRPM4/CCL20/LGALS9/C10orf99/CAMK1D/CD74/CHGA	11
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0071248	cellular response to metal ion	9/108	190/18670	1.59210244975233e-06	0.000203133541971341	0.000178039444226173	CHP2/BNIP3/MT1M/MT1F/MT1H/MT1X/MT1E/MT2A/MT1G	9
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0071241	cellular response to inorganic substance	9/108	217/18670	4.74006987359986e-06	0.000571178419768782	0.000500617905948616	CHP2/BNIP3/MT1M/MT1F/MT1H/MT1X/MT1E/MT2A/MT1G	9
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0050900	leukocyte migration	13/108	499/18670	6.18898725960639e-06	0.000706521756109803	0.000619241606141226	CCL28/CXCL3/ADTRP/CCL15/GAS6/TRPM4/CCL20/LGALS9/C10orf99/CAMK1D/CD74/CEACAM5/CHGA	13
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0098754	detoxification	7/108	131/18670	1.10356198123922e-05	0.00119681296865394	0.00104896470427265	MT1M/MT1F/MT1H/MT1X/MT1E/MT2A/MT1G	7
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0002685	regulation of leukocyte migration	8/108	196/18670	1.83656980129066e-05	0.00189691423761878	0.00166257897801049	CCL28/ADTRP/GAS6/CCL20/LGALS9/C10orf99/CAMK1D/CD74	8
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:2001198	regulation of dendritic cell differentiation	3/108	12/18670	3.98716889104047e-05	0.00393098605666672	0.00344537177857373	LGALS9/TMEM176B/TMEM176A	3
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0010038	response to metal ion	10/108	364/18670	4.9888890694803e-05	0.00470473930074033	0.00412353943225694	CHP2/BNIP3/CA2/MT1M/MT1F/MT1H/MT1X/MT1E/MT2A/MT1G	10
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0070372	regulation of ERK1 and ERK2 cascade	9/108	300/18670	6.16387191659787e-05	0.00557059924462533	0.00488243538656831	CCL15/GAS6/PLA2G2A/CCL20/NDRG2/LGALS9/CD74/KLF4/ATF3	9
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0051048	negative regulation of secretion	8/108	238/18670	7.29498040068258e-05	0.00632912499563221	0.00554725667521378	CARD16/ADTRP/GAS6/LGALS9/FAM3D/CD74/SCT/CHGA	8
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0019730	antimicrobial humoral response	6/108	122/18670	7.64674299235448e-05	0.00637914828862187	0.00559110034177821	CXCL3/DEFB1/PLA2G2A/SLPI/LCN2/CHGA	6
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0070371	ERK1 and ERK2 cascade	9/108	317/18670	9.39464121415236e-05	0.00748422040946412	0.00655965740190348	CCL15/GAS6/PLA2G2A/CCL20/NDRG2/LGALS9/CD74/KLF4/ATF3	9
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0045926	negative regulation of growth	8/108	249/18670	9.99080323887209e-05	0.00748422040946412	0.00655965740190348	PLAC8/MT1M/MT1F/MT1H/MT1X/MT1E/MT2A/MT1G	8
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0097028	dendritic cell differentiation	4/108	42/18670	0.000100065648628151	0.00748422040946412	0.00655965740190348	GAS6/LGALS9/TMEM176B/TMEM176A	4
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0042742	defense response to bacterium	9/108	330/18670	0.00012734753260676	0.00920722660746873	0.00806981206623888	DEFB1/PLA2G2A/PLAC8/SLPI/CCL20/C10orf99/LCN2/LYPD8/CHGA	9
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0072503	cellular divalent inorganic cation homeostasis	11/108	493/18670	0.00013377093574635	0.00935965031076879	0.00820340611062504	CCL28/CCL15/TRPM4/BNIP3/MT1M/MT1F/MT1H/MT1X/MT1E/MT2A/MT1G	11
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0002792	negative regulation of peptide secretion	6/108	148/18670	0.000220756407919885	0.0149631452743197	0.0131146734441879	CARD16/ADTRP/GAS6/FAM3D/CD74/CHGA	6
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0030277	maintenance of gastrointestinal epithelium	3/108	21/18670	0.000232071286264283	0.0152534127244615	0.0133690827111099	MUC2/MUC4/NEUROD1	3
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0022600	digestive system process	5/108	100/18670	0.000287221170131665	0.0183230211181053	0.0160594870977643	FABP2/MUC2/MUC4/NEUROD1/SCT	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0030593	neutrophil chemotaxis	5/108	104/18670	0.00034448448032755	0.0210113857888803	0.0184157446966673	CXCL3/CCL15/CCL20/CAMK1D/CD74	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0002407	dendritic cell chemotaxis	3/108	24/18670	0.000348736693591375	0.0210113857888803	0.0184157446966673	GAS6/TRPM4/LGALS9	3
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0006614	SRP-dependent cotranslational protein targeting to membrane	5/108	105/18670	0.000360060768121376	0.0211073461096018	0.0184998505612292	RPS29/RPL36A/RPS4Y1/RPL17/RPS17	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:2000679	positive regulation of transcription regulatory region DNA binding	3/108	25/18670	0.000394628398172507	0.0225249735693728	0.0197423514432007	PAX6/NEUROD1/KLF4	3
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0006613	cotranslational protein targeting to membrane	5/108	109/18670	0.000427752944635969	0.0237896445362927	0.0208507913093808	RPS29/RPL36A/RPS4Y1/RPL17/RPS17	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0072676	lymphocyte migration	5/108	111/18670	0.000464996245727649	0.0252144214245818	0.0220995584153719	ADTRP/CCL15/GAS6/CCL20/C10orf99	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0036336	dendritic cell migration	3/108	27/18670	0.000497661967451889	0.0255166809821735	0.0223644783450075	GAS6/TRPM4/LGALS9	3
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0042593	glucose homeostasis	7/108	241/18670	0.00050502514928138	0.0255166809821735	0.0223644783450075	GAS6/TRPM4/BACE2/PCK1/HK2/PAX6/NEUROD1	7
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0048247	lymphocyte chemotaxis	4/108	64/18670	0.00051521973682798	0.0255166809821735	0.0223644783450075	CCL15/GAS6/CCL20/C10orf99	4
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0033500	carbohydrate homeostasis	7/108	242/18670	0.00051762746114137	0.0255166809821735	0.0223644783450075	GAS6/TRPM4/BACE2/PCK1/HK2/PAX6/NEUROD1	7
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0045047	protein targeting to ER	5/108	118/18670	0.000614837845871647	0.0284504225048557	0.0249358001716868	RPS29/RPL36A/RPS4Y1/RPL17/RPS17	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:1990266	neutrophil migration	5/108	118/18670	0.000614837845871647	0.0284504225048557	0.0249358001716868	CXCL3/CCL15/CCL20/CAMK1D/CD74	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0010669	epithelial structure maintenance	3/108	29/18670	0.000616491405130574	0.0284504225048557	0.0249358001716868	MUC2/MUC4/NEUROD1	3
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0002791	regulation of peptide secretion	10/108	500/18670	0.000643767284906537	0.0287298540376848	0.0251807121361087	CARD16/ADTRP/GAS6/TRPM4/LGALS9/FAM3D/CD74/NEUROD1/SCT/CHGA	10
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	5/108	120/18670	0.000663629639935572	0.0287298540376848	0.0251807121361087	RPS29/RPL36A/RPS4Y1/RPL17/RPS17	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0046596	regulation of viral entry into host cell	3/108	30/18670	0.000682119006567913	0.0287298540376848	0.0251807121361087	TMPRSS2/LGALS9/CD74	3
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0061082	myeloid leukocyte cytokine production	3/108	30/18670	0.000682119006567913	0.0287298540376848	0.0251807121361087	GAS6/CD74/CHGA	3
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0046718	viral entry into host cell	5/108	121/18670	0.000689085803262112	0.0287298540376848	0.0251807121361087	TMPRSS2/ANPEP/GAS6/LGALS9/CD74	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0016042	lipid catabolic process	8/108	333/18670	0.000706215975875343	0.0287298540376848	0.0251807121361087	CES3/FABP2/ADTRP/PLA2G10/PCK1/PLA2G2A/ACADS/SCT	8
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0072599	establishment of protein localization to endoplasmic reticulum	5/108	122/18670	0.000715266075627008	0.0287298540376848	0.0251807121361087	RPS29/RPL36A/RPS4Y1/RPL17/RPS17	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0071621	granulocyte chemotaxis	5/108	123/18670	0.000742183503382023	0.0292690185242838	0.0256532709494341	CXCL3/CCL15/CCL20/CAMK1D/CD74	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0071496	cellular response to external stimulus	8/108	339/18670	0.000793024173559046	0.0307155255794566	0.0269210837866097	GAS6/TRPM4/PCK1/BNIP3/LCN2/NR4A2/GABARAP/ATF3	8
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0002687	positive regulation of leukocyte migration	5/108	128/18670	0.000888289838942441	0.0338017659765992	0.0296260655425679	GAS6/CCL20/LGALS9/CAMK1D/CD74	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:1903038	negative regulation of leukocyte cell-cell adhesion	5/108	129/18670	0.000919908325918715	0.0344013992916843	0.030151623168951	CCL28/ADTRP/LGALS9/CD74/KLF4	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0031668	cellular response to extracellular stimulus	7/108	268/18670	0.000943811786972884	0.034697080778715	0.030410777649831	GAS6/TRPM4/PCK1/LCN2/NR4A2/GABARAP/ATF3	7
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0019932	second-messenger-mediated signaling	9/108	439/18670	0.00101553885701964	0.0363968787101854	0.0319005910803401	DEFB1/TRPM4/CHP2/GNG2/CCL20/NEUROD1/SCT/MT2A/CHGA	9
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:1902105	regulation of leukocyte differentiation	7/108	272/18670	0.00102865962511031	0.0363968787101854	0.0319005910803401	GAS6/NFKBIZ/LGALS9/TMEM176B/TMEM176A/CA2/CD74	7
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0030260	entry into host cell	5/108	134/18670	0.00109073172713787	0.0363968787101854	0.0319005910803401	TMPRSS2/ANPEP/GAS6/LGALS9/CD74	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0044409	entry into host	5/108	134/18670	0.00109073172713787	0.0363968787101854	0.0319005910803401	TMPRSS2/ANPEP/GAS6/LGALS9/CD74	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0051806	entry into cell of other organism involved in symbiotic interaction	5/108	134/18670	0.00109073172713787	0.0363968787101854	0.0319005910803401	TMPRSS2/ANPEP/GAS6/LGALS9/CD74	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0051828	entry into other organism involved in symbiotic interaction	5/108	134/18670	0.00109073172713787	0.0363968787101854	0.0319005910803401	TMPRSS2/ANPEP/GAS6/LGALS9/CD74	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0007586	digestion	5/108	139/18670	0.00128403758599755	0.042198144303465	0.0369851974531352	FABP2/MUC2/MUC4/NEUROD1/SCT	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0050709	negative regulation of protein secretion	5/108	141/18670	0.00136804626360812	0.0436038592585428	0.038217257441425	CARD16/ADTRP/GAS6/FAM3D/CHGA	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0097530	granulocyte migration	5/108	141/18670	0.00136804626360812	0.0436038592585428	0.038217257441425	CXCL3/CCL15/CCL20/CAMK1D/CD74	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0097529	myeloid leukocyte migration	6/108	210/18670	0.0013926414700231	0.0436038592585428	0.038217257441425	CXCL3/CCL15/CCL20/CAMK1D/CD74/CHGA	6
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:1903531	negative regulation of secretion by cell	6/108	211/18670	0.00142677308568531	0.0436038592585428	0.038217257441425	CARD16/ADTRP/GAS6/LGALS9/FAM3D/CHGA	6
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0097048	dendritic cell apoptotic process	2/108	10/18670	0.00144743101273171	0.0436038592585428	0.038217257441425	GAS6/LGALS9	2
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:2000668	regulation of dendritic cell apoptotic process	2/108	10/18670	0.00144743101273171	0.0436038592585428	0.038217257441425	GAS6/LGALS9	2
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:1902107	positive regulation of leukocyte differentiation	5/108	144/18670	0.00150157728545376	0.0446153579746467	0.0391038006853568	GAS6/NFKBIZ/LGALS9/CA2/CD74	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0070374	positive regulation of ERK1 and ERK2 cascade	6/108	215/18670	0.00156972986715544	0.0460100551602724	0.0403262039841071	CCL15/GAS6/PLA2G2A/CCL20/LGALS9/CD74	6
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0002690	positive regulation of leukocyte chemotaxis	4/108	87/18670	0.00163049495560519	0.046932402752087	0.0411346093859742	GAS6/LGALS9/CAMK1D/CD74	4
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:0070972	protein localization to endoplasmic reticulum	5/108	147/18670	0.00164447330989332	0.046932402752087	0.0411346093859742	RPS29/RPL36A/RPS4Y1/RPL17/RPS17	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	GO:1904995	negative regulation of leukocyte adhesion to vascular endothelial cell	2/108	11/18670	0.0017624089688158	0.0496450006930062	0.0435121065985146	CCL28/KLF4	2
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	GO:0010273	detoxification of copper ion	7/187	15/18670	5.43420575642112e-11	7.76276292304757e-08	6.91288174382623e-08	MT1M/MT1F/MT1X/MT1H/MT1E/MT2A/MT1G	7
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	GO:1990169	stress response to copper ion	7/187	15/18670	5.43420575642112e-11	7.76276292304757e-08	6.91288174382623e-08	MT1M/MT1F/MT1X/MT1H/MT1E/MT2A/MT1G	7
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	GO:0071276	cellular response to cadmium ion	9/187	37/18670	8.17063555897595e-11	7.78116859733143e-08	6.92927233194557e-08	JUN/GSN/MT1M/MT1F/MT1X/MT1H/MT1E/MT2A/MT1G	9
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	GO:0061687	detoxification of inorganic compound	7/187	17/18670	1.614755460098e-10	9.22671269899995e-08	8.21655567801443e-08	MT1M/MT1F/MT1X/MT1H/MT1E/MT2A/MT1G	7
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	GO:0097501	stress response to metal ion	7/187	17/18670	1.614755460098e-10	9.22671269899995e-08	8.21655567801443e-08	MT1M/MT1F/MT1X/MT1H/MT1E/MT2A/MT1G	7
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	GO:0071294	cellular response to zinc ion	7/187	23/18670	1.93471480524382e-09	8.47157844020273e-07	7.54409486946927e-07	MT1M/MT1F/MT1X/MT1H/MT1E/MT2A/MT1G	7
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	GO:0006882	cellular zinc ion homeostasis	8/187	36/18670	2.07564049987466e-09	8.47157844020273e-07	7.54409486946927e-07	SLC39A8/MT1M/MT1F/MT1X/MT1H/MT1E/MT2A/MT1G	8
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	GO:0010043	response to zinc ion	9/187	53/18670	2.53607503803171e-09	9.05695797957075e-07	8.06538600910875e-07	ASS1/CA2/MT1M/MT1F/MT1X/MT1H/MT1E/MT2A/MT1G	9
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	GO:0055069	zinc ion homeostasis	8/187	38/18670	3.29757019606355e-09	1.04679533890595e-06	9.32190311565568e-07	SLC39A8/MT1M/MT1F/MT1X/MT1H/MT1E/MT2A/MT1G	8
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	GO:0071280	cellular response to copper ion	7/187	29/18670	1.17075843213146e-08	3.22779688196453e-06	2.8744119019613e-06	MT1M/MT1F/MT1X/MT1H/MT1E/MT2A/MT1G	7
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	GO:0046686	response to cadmium ion	9/187	63/18670	1.24276393775323e-08	3.22779688196453e-06	2.8744119019613e-06	JUN/GSN/MT1M/MT1F/MT1X/MT1H/MT1E/MT2A/MT1G	9
