Cluster	comparison	change	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	R-HSA-1475029	Reversible hydration of carbon dioxide	3/78	12/10654	7.92012510392133e-05	0.00548468663446553	0.00464786288993278	CA12/CA2/CA4	3
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	R-HSA-156902	Peptide chain elongation	5/78	89/10654	0.000474739795409182	0.019712487087834	0.0167048627041116	RPL17/RPL36A/RPS17/RPS29/RPS4Y1	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	R-HSA-192823	Viral mRNA Translation	5/78	89/10654	0.000474739795409182	0.019712487087834	0.0167048627041116	RPL17/RPL36A/RPS17/RPS29/RPS4Y1	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	R-HSA-2408557	Selenocysteine synthesis	5/78	93/10654	0.000581057919465934	0.019712487087834	0.0167048627041116	RPL17/RPL36A/RPS17/RPS29/RPS4Y1	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	R-HSA-72764	Eukaryotic Translation Termination	5/78	93/10654	0.000581057919465934	0.019712487087834	0.0167048627041116	RPL17/RPL36A/RPS17/RPS29/RPS4Y1	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	5/78	95/10654	0.00064047791982132	0.019712487087834	0.0167048627041116	RPL17/RPL36A/RPS17/RPS29/RPS4Y1	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	R-HSA-72689	Formation of a pool of free 40S subunits	5/78	101/10654	0.00084625007738961	0.0234411271436922	0.0198646070797772	RPL17/RPL36A/RPS17/RPS29/RPS4Y1	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	5/78	111/10654	0.00129376519442622	0.0271139509166897	0.0229770513183424	RPL17/RPL36A/RPS17/RPS29/RPS4Y1	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	5/78	112/10654	0.001346565141022	0.0271139509166897	0.0229770513183424	RPL17/RPL36A/RPS17/RPS29/RPS4Y1	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	5/78	112/10654	0.001346565141022	0.0271139509166897	0.0229770513183424	RPL17/RPL36A/RPS17/RPS29/RPS4Y1	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	R-HSA-927802	Nonsense-Mediated Decay (NMD)	5/78	115/10654	0.00151453814557264	0.0271139509166897	0.0229770513183424	RPL17/RPL36A/RPS17/RPS29/RPS4Y1	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	5/78	115/10654	0.00151453814557264	0.0271139509166897	0.0229770513183424	RPL17/RPL36A/RPS17/RPS29/RPS4Y1	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	R-HSA-2408522	Selenoamino acid metabolism	5/78	118/10654	0.00169747664422345	0.0271139509166897	0.0229770513183424	RPL17/RPL36A/RPS17/RPS29/RPS4Y1	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	R-HSA-72613	Eukaryotic Translation Initiation	5/78	119/10654	0.00176191738808814	0.0271139509166897	0.0229770513183424	RPL17/RPL36A/RPS17/RPS29/RPS4Y1	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	R-HSA-72737	Cap-dependent Translation Initiation	5/78	119/10654	0.00176191738808814	0.0271139509166897	0.0229770513183424	RPL17/RPL36A/RPS17/RPS29/RPS4Y1	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	R-HSA-71288	Creatine metabolism	2/78	11/10654	0.00278847600089309	0.0406530448551255	0.0344504237229451	CKMT1A/CKMT1B	2
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	R-HSA-168273	Influenza Viral RNA Transcription and Replication	5/78	134/10654	0.00295861654323037	0.0409768391237406	0.0347248152179144	RPL17/RPL36A/RPS17/RPS29/RPS4Y1	5
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	R-HSA-1237044	Erythrocytes take up carbon dioxide and release oxygen	2/78	13/10654	0.00391722398888384	0.048516050404112	0.0411137345244802	CA2/CA4	2
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	R-HSA-1480926	O2/CO2 exchange in erythrocytes	2/78	13/10654	0.00391722398888384	0.048516050404112	0.0411137345244802	CA2/CA4	2
early_EEC_vs_EEC.down	early_EEC_vs_EEC	down	R-HSA-168255	Influenza Life Cycle	5/78	144/10654	0.00402840851730894	0.048516050404112	0.0411137345244802	RPL17/RPL36A/RPS17/RPS29/RPS4Y1	5
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-5661231	Metallothioneins bind metals	7/128	11/10654	9.71410984696503e-12	4.90562547271734e-09	4.48894128717647e-09	MT1E/MT1F/MT1G/MT1H/MT1M/MT1X/MT2A	7
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-5660526	Response to metal ions	7/128	14/10654	9.80438819991664e-11	2.47560802047895e-08	2.26532969461232e-08	MT1E/MT1F/MT1G/MT1H/MT1M/MT1X/MT2A	7
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-156842	Eukaryotic Translation Elongation	10/128	93/10654	1.52932162425067e-07	2.57435806748864e-05	2.35569190542472e-05	EEF1G/RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	10
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-156902	Peptide chain elongation	9/128	89/10654	1.11170487009328e-06	0.000112282191879422	0.000102744934309674	RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	9
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-192823	Viral mRNA Translation	9/128	89/10654	1.11170487009328e-06	0.000112282191879422	0.000102744934309674	RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	9
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-2408557	Selenocysteine synthesis	9/128	93/10654	1.61569026162041e-06	0.000116560511731186	0.000106659853361107	RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	9
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-72764	Eukaryotic Translation Termination	9/128	93/10654	1.61569026162041e-06	0.000116560511731186	0.000106659853361107	RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	9
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	9/128	95/10654	1.93431938588162e-06	0.000122103911233777	0.00011173239610553	RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	9
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-72689	Formation of a pool of free 40S subunits	9/128	101/10654	3.23595038946309e-06	0.000181572771853207	0.000166149967365415	RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	9
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-9010553	Regulation of expression of SLITs and ROBOs	11/128	171/10654	6.33674415349179e-06	0.000296009773842186	0.000270866682056737	PSMB9/PSME2/RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	11
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-156827	L13a-mediated translational silencing of Ceruloplasmin expression	9/128	111/10654	7.07874703675178e-06	0.000296009773842186	0.000270866682056737	RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	9
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	9/128	112/10654	7.62005358405627e-06	0.000296009773842186	0.000270866682056737	RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	9
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	9/128	112/10654	7.62005358405627e-06	0.000296009773842186	0.000270866682056737	RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	9
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-168255	Influenza Life Cycle	10/128	144/10654	8.66964972505392e-06	0.000298638358451762	0.000273271994497809	HSPA1A/RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	10
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-927802	Nonsense-Mediated Decay (NMD)	9/128	115/10654	9.4618093766895e-06	0.000298638358451762	0.000273271994497809	RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	9
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	9/128	115/10654	9.4618093766895e-06	0.000298638358451762	0.000273271994497809	RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	9
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-2408522	Selenoamino acid metabolism	9/128	118/10654	1.16716197873415e-05	0.000315623148713131	0.000288814095435257	RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	9
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-376176	Signaling by ROBO receptors	12/128	218/10654	1.17166726883156e-05	0.000315623148713131	0.000288814095435257	PFN1/PSMB9/PSME2/RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	12
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-72613	Eukaryotic Translation Initiation	9/128	119/10654	1.24999266817082e-05	0.000315623148713131	0.000288814095435257	RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	9
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-72737	Cap-dependent Translation Initiation	9/128	119/10654	1.24999266817082e-05	0.000315623148713131	0.000288814095435257	RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	9
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-168254	Influenza Infection	10/128	155/10654	1.65741374451989e-05	0.000398568543325021	0.00036471410217756	HSPA1A/RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	10
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-168273	Influenza Viral RNA Transcription and Replication	9/128	134/10654	3.24104016767663e-05	0.000743966038489409	0.000680773508904326	RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	9
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-5083636	Defective GALNT12 causes colorectal cancer 1 (CRCS1)	4/128	17/10654	4.19113086134853e-05	0.000920226558687393	0.000842062447657667	GALNT12/MUC1/MUC4/MUC5AC	4
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-913709	O-linked glycosylation of mucins	6/128	64/10654	0.000113349651791051	0.00238506558977003	0.00218247794457331	GALNT12/GALNT5/GALNT7/MUC1/MUC4/MUC5AC	6
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-71291	Metabolism of amino acids and derivatives	14/128	372/10654	0.000146746897007194	0.00296428731954531	0.00271250053836455	ASS1/PSMB9/PSME2/RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1/SAT1/SQOR	14
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-5663205	Infectious disease	14/128	383/10654	0.00019876912232332	0.00386070795281833	0.00353277913764929	CD9/HBEGF/HSPA1A/PSMB9/PSME2/RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	14
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-1428517	The citric acid (TCA) cycle and respiratory electron transport	9/128	174/10654	0.000242505092314568	0.004535743393291	0.00415047701856123	ATP5ME/COX7C/MPC1/NDUFA1/NDUFA13/NDUFA7/NDUFB1/SUCLG2/UQCR11	9
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	9/128	185/10654	0.000381791204920444	0.00688587708874372	0.00630099018646898	RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	9
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-8868773	rRNA processing in the nucleus and cytosol	9/128	195/10654	0.000560320178823105	0.00975729966571269	0.00892851392026654	RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	9
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-450531	Regulation of mRNA stability by proteins that bind AU-rich elements	6/128	88/10654	0.000648033505844198	0.010908564015044	0.00998198979177554	HSPA1A/HSPB1/PSMB9/PSME2/ZFP36/ZFP36L1	6
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-163200	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	7/128	123/10654	0.000686743808163668	0.0111872781652469	0.0102370299417267	ATP5ME/COX7C/NDUFA1/NDUFA13/NDUFA7/NDUFB1/UQCR11	7
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-72312	rRNA processing	9/128	205/10654	0.000802302987634211	0.0126613440236024	0.0115858885385335	RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	9
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-5083625	Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC)	3/128	17/10654	0.00101837253719189	0.0155841857964213	0.0142604639179342	MUC1/MUC4/MUC5AC	3
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-5083632	Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS)	3/128	18/10654	0.00121136981903482	0.017992404665076	0.0164641285001946	MUC1/MUC4/MUC5AC	3
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-611105	Respiratory electron transport	6/128	100/10654	0.00126815691480456	0.0182976926278943	0.0167434852811789	COX7C/NDUFA1/NDUFA13/NDUFA7/NDUFB1/UQCR11	6
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-909733	Interferon alpha/beta signaling	5/128	69/10654	0.00140680763324228	0.0197343848552042	0.0180581447658877	HLA-B/IFI27/IFITM2/IFITM3/IRF1	5
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-5173105	O-linked glycosylation	6/128	112/10654	0.00226487156606128	0.0309124362394851	0.0282867316500968	GALNT12/GALNT5/GALNT7/MUC1/MUC4/MUC5AC	6
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-72766	Translation	10/128	291/10654	0.00262944087820759	0.0349438853551272	0.0319757491837433	EEF1G/RPL17/RPL31/RPL36/RPL36A/RPL41/RPS10/RPS17/RPS29/RPS4Y1	10
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-977068	Termination of O-glycan biosynthesis	3/128	24/10654	0.00285084543329253	0.0369147934310956	0.033779248183952	MUC1/MUC4/MUC5AC	3
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-72695	Formation of the ternary complex, and subsequently, the 43S complex	4/128	51/10654	0.00321131959677976	0.0405429099093445	0.0370991921838504	RPS10/RPS17/RPS29/RPS4Y1	4
early_EEC_vs_goblet.down	early_EEC_vs_goblet	down	R-HSA-5621480	Dectin-2 family	3/128	27/10654	0.00401333680148899	0.0494325630427303	0.0452337575315447	MUC1/MUC4/MUC5AC	3
early_EEC_vs_goblet.up	early_EEC_vs_goblet	up	R-HSA-5617833	Cilium Assembly	39/572	201/10654	1.49023767986289e-12	1.706322143443e-09	1.42435348770053e-09	AKAP9/ARL3/ASAP1/CCT2/CCT3/CCT4/CCT5/CCT8/CEP97/CETN2/CKAP5/CLUAP1/CNTRL/DCTN2/DCTN3/DYNC1H1/DYNC1I2/DYNC2H1/DYNLL1/EXOC7/HSPB11/IFT22/IFT57/IFT81/IFT88/KIF3A/KIF3B/KIFAP3/NPHP1/PCM1/RAB11A/RAB3IP/TMEM67/TNPO1/TUBA1A/TUBB/TUBB2B/YWHAE/YWHAG	39
early_EEC_vs_goblet.up	early_EEC_vs_goblet	up	R-HSA-389957	Prefoldin mediated transfer of substrate  to CCT/TriC	13/572	28/10654	4.78638086797064e-10	2.74020304691319e-07	2.28738622532492e-07	CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/PFDN1/PFDN4/PFDN5/TUBA1A/TUBB2B/VBP1	13
early_EEC_vs_goblet.up	early_EEC_vs_goblet	up	R-HSA-2262752	Cellular responses to stress	59/572	479/10654	1.32957350826367e-09	5.07453888987301e-07	4.23597454562601e-07	AGO1/ASF1A/ATP6V0E1/ATP6V1B2/ATP6V1D/ATP6V1F/ATP6V1G1/CAMK2B/CBX6/CCS/CDKN2A/CDKN2B/DCTN2/DCTN3/DNAJA1/DNAJA2/DNAJB6/DNAJC7/DYNC1H1/DYNC1I2/DYNC1LI2/DYNLL1/EHMT1/EHMT2/EP300/ETS1/GSK3B/HSBP1/HSP90AB1/HSPA4/HSPA8/HSPH1/KDM6B/LAMTOR2/MAP4K4/MDM2/PHC2/PRDX1/PRDX2/PSMB1/PSMB3/PSMB4/PSMC5/PSMD2/PSMD4/RANBP2/RBBP4/RRAGA/ST13/SUZ12/TERF2IP/TFDP2/TNRC6B/TPR/TUBA1A/TUBB2B/TXNRD1/UBB/YWHAE	59
early_EEC_vs_goblet.up	early_EEC_vs_goblet	up	R-HSA-389958	Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding	13/572	32/10654	3.63784695507412e-09	9.19669631250352e-07	7.67694805952948e-07	CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/PFDN1/PFDN4/PFDN5/TUBA1A/TUBB2B/VBP1	13
early_EEC_vs_goblet.up	early_EEC_vs_goblet	up	R-HSA-8953897	Cellular responses to external stimuli	59/572	493/10654	4.01602459061289e-09	9.19669631250352e-07	7.67694805952948e-07	AGO1/ASF1A/ATP6V0E1/ATP6V1B2/ATP6V1D/ATP6V1F/ATP6V1G1/CAMK2B/CBX6/CCS/CDKN2A/CDKN2B/DCTN2/DCTN3/DNAJA1/DNAJA2/DNAJB6/DNAJC7/DYNC1H1/DYNC1I2/DYNC1LI2/DYNLL1/EHMT1/EHMT2/EP300/ETS1/GSK3B/HSBP1/HSP90AB1/HSPA4/HSPA8/HSPH1/KDM6B/LAMTOR2/MAP4K4/MDM2/PHC2/PRDX1/PRDX2/PSMB1/PSMB3/PSMB4/PSMC5/PSMD2/PSMD4/RANBP2/RBBP4/RRAGA/ST13/SUZ12/TERF2IP/TFDP2/TNRC6B/TPR/TUBA1A/TUBB2B/TXNRD1/UBB/YWHAE	59
early_EEC_vs_goblet.up	early_EEC_vs_goblet	up	R-HSA-3247509	Chromatin modifying enzymes	40/572	274/10654	6.17854890165996e-09	1.01063407034295e-06	8.43627428978533e-07	ACTL6A/ARID1A/ARID1B/ARID2/ARID4B/BRD8/CHD4/COPRS/DNMT3A/DPY30/EHMT1/EHMT2/ENY2/EP300/EPC1/HDAC2/HDAC8/ING4/KANSL1/KDM1A/KDM5A/KDM5B/KDM6B/KMT2A/KMT2E/MORF4L1/MORF4L2/PRMT1/RBBP4/RUVBL1/SAP18/SAP30/SMARCA4/SMARCC1/SMARCC2/SMARCD1/SMARCE1/SUPT20H/SUZ12/USP22	40
early_EEC_vs_goblet.up	early_EEC_vs_goblet	up	R-HSA-4839726	Chromatin organization	40/572	274/10654	6.17854890165996e-09	1.01063407034295e-06	8.43627428978533e-07	ACTL6A/ARID1A/ARID1B/ARID2/ARID4B/BRD8/CHD4/COPRS/DNMT3A/DPY30/EHMT1/EHMT2/ENY2/EP300/EPC1/HDAC2/HDAC8/ING4/KANSL1/KDM1A/KDM5A/KDM5B/KDM6B/KMT2A/KMT2E/MORF4L1/MORF4L2/PRMT1/RBBP4/RUVBL1/SAP18/SAP30/SMARCA4/SMARCC1/SMARCC2/SMARCD1/SMARCE1/SUPT20H/SUZ12/USP22	40
early_EEC_vs_goblet.up	early_EEC_vs_goblet	up	R-HSA-69275	G2/M Transition	32/572	196/10654	1.41523252928971e-08	2.02555155754589e-06	1.69083044288823e-06	AKAP9/CETN2/CKAP5/CNTRL/DCTN2/DCTN3/DYNC1H1/DYNC1I2/DYNLL1/EP300/HSP90AB1/LCMT1/NME7/PCM1/PHLDA1/PPME1/PPP1CB/PSMB1/PSMB3/PSMB4/PSMC5/PSMD2/PSMD4/RBBP4/SKP1/TUBA1A/TUBB/TUBB2B/UBB/XPO1/YWHAE/YWHAG	32
early_EEC_vs_goblet.up	early_EEC_vs_goblet	up	R-HSA-453274	Mitotic G2-G2/M phases	32/572	198/10654	1.82075613930314e-08	2.14121156144594e-06	1.78737770424538e-06	AKAP9/CETN2/CKAP5/CNTRL/DCTN2/DCTN3/DYNC1H1/DYNC1I2/DYNLL1/EP300/HSP90AB1/LCMT1/NME7/PCM1/PHLDA1/PPME1/PPP1CB/PSMB1/PSMB3/PSMB4/PSMC5/PSMD2/PSMD4/RBBP4/SKP1/TUBA1A/TUBB/TUBB2B/UBB/XPO1/YWHAE/YWHAG	32
early_EEC_vs_goblet.up	early_EEC_vs_goblet	up	R-HSA-1852241	Organelle biogenesis and maintenance	41/572	296/10654	1.87005376545497e-08	2.14121156144594e-06	1.78737770424538e-06	AKAP9/ARL3/ASAP1/CALM1/CCT2/CCT3/CCT4/CCT5/CCT8/CEP97/CETN2/CKAP5/CLUAP1/CNTRL/CREB1/DCTN2/DCTN3/DYNC1H1/DYNC1I2/DYNC2H1/DYNLL1/EXOC7/HSPB11/IFT22/IFT57/IFT81/IFT88/KIF3A/KIF3B/KIFAP3/NPHP1/PCM1/RAB11A/RAB3IP/TMEM67/TNPO1/TUBA1A/TUBB/TUBB2B/YWHAE/YWHAG	41
early_EEC_vs_goblet.up	early_EEC_vs_goblet	up	R-HSA-8939243	RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	13/572	38/10654	4.20613891612909e-08	4.37820823542528e-06	3.65471209171791e-06	ACTL6A/ARID1A/ARID1B/ARID2/CBX6/CSNK2A1/EP300/PHC2/SMARCA4/SMARCC1/SMARCC2/SMARCD1/SMARCE1	13
early_EEC_vs_goblet.up	early_EEC_vs_goblet	up	R-HSA-391251	Protein folding	21/572	101/10654	6.69518872513588e-08	6.38832590856715e-06	5.33265908984507e-06	CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/CSNK2A1/DCAF7/GNAI2/GNAI3/GNB1/PFDN1/PFDN4/PFDN5/TBCC/TUBA1A/TUBB2B/USP11/VBP1/XRN2	21
early_EEC_vs_goblet.up	early_EEC_vs_goblet	up	R-HSA-390466	Chaperonin-mediated protein folding	20/572	95/10654	1.10704015621819e-07	9.75046906822945e-06	8.13921021737747e-06	CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/CSNK2A1/DCAF7/GNAI2/GNAI3/GNB1/PFDN1/PFDN4/PFDN5/TUBA1A/TUBB2B/USP11/VBP1/XRN2	20
early_EEC_vs_goblet.up	early_EEC_vs_goblet	up	R-HSA-390450	Folding of actin by CCT/TriC	7/572	10/10654	1.29214985442413e-07	1.0567939880826e-05	8.82159449486552e-06	CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8	7
